Date,Volume BTC
2018-11-11 00:00:00,54.18
2018-11-12 00:00:00,87.63
2018-11-13 00:00:00,360.43
2018-11-14 00:00:00,391.86
2018-11-15 00:00:00,1151.47
2018-11-16 00:00:00,346.89
2018-11-17 00:00:00,497.11
2018-11-18 00:00:00,94.95
2018-11-19 00:00:00,102.63
2018-11-20 00:00:00,1127.42
2018-11-21 00:00:00,1291.43
2018-11-22 00:00:00,923.53
2018-11-23 00:00:00,848.66
2018-11-24 00:00:00,654
2018-11-25 00:00:00,850.92
2018-11-26 00:00:00,622.12
2018-11-27 00:00:00,966.66
2018-11-28 00:00:00,770
2018-11-29 00:00:00,1201.12
2018-11-30 00:00:00,747.01
2018-12-01 00:00:00,895.64
2018-12-02 00:00:00,312.31
2018-12-03 00:00:00,233.95
2018-12-04 00:00:00,905.51
2018-12-05 00:00:00,719.36
2018-12-06 00:00:00,741.24
2018-12-07 00:00:00,1119.59
2018-12-08 00:00:00,1232.51
2018-12-09 00:00:00,273.51
2018-12-10 00:00:00,272.68
2018-12-11 00:00:00,894.55
2018-12-12 00:00:00,867.41
2018-12-13 00:00:00,788.14
2018-12-14 00:00:00,766.48
2018-12-15 00:00:00,874.91
2018-12-16 00:00:00,264.18
2018-12-17 00:00:00,125.38
2018-12-18 00:00:00,1059.95
2018-12-19 00:00:00,1162.96
2018-12-20 00:00:00,1600.25
2018-12-21 00:00:00,1600.98
2018-12-22 00:00:00,1078.67
2018-12-23 00:00:00,314.33
2018-12-24 00:00:00,310.64
2018-12-25 00:00:00,758.62
2018-12-26 00:00:00,296.7
2018-12-27 00:00:00,721.33
2018-12-28 00:00:00,864.17
2018-12-29 00:00:00,835.28
2018-12-30 00:00:00,271.54
2018-12-31 00:00:00,118.69
2019-01-01 00:00:00,321.74
2019-01-02 00:00:00,130.18
2019-01-03 00:00:00,696.6
2019-01-04 00:00:00,870.58
2019-01-05 00:00:00,743.19
2019-01-06 00:00:00,206.63
2019-01-07 00:00:00,297.39
2019-01-08 00:00:00,692.89
2019-01-09 00:00:00,749.37
2019-01-10 00:00:00,729.17
2019-01-11 00:00:00,1273.1
2019-01-12 00:00:00,833.37
2019-01-13 00:00:00,144.84
2019-01-14 00:00:00,235.97
2019-01-15 00:00:00,923.88
2019-01-16 00:00:00,976.4
2019-01-17 00:00:00,681.25
2019-01-18 00:00:00,629.91
2019-01-19 00:00:00,604.72
2019-01-20 00:00:00,272.44
2019-01-21 00:00:00,363.77
2019-01-22 00:00:00,608.22
2019-01-23 00:00:00,803.86
2019-01-24 00:00:00,754.98
2019-01-25 00:00:00,445.75
2019-01-26 00:00:00,459.12
2019-01-27 00:00:00,313.76
2019-01-28 00:00:00,167.79
2019-01-29 00:00:00,689.96
2019-01-30 00:00:00,748.81
2019-01-31 00:00:00,704.45
2019-02-01 00:00:00,732.54
2019-02-02 00:00:00,676.36
2019-02-03 00:00:00,185.61
2019-02-04 00:00:00,124.21
2019-02-05 00:00:00,817.73
2019-02-06 00:00:00,896
2019-02-07 00:00:00,630.2
2019-02-08 00:00:00,556.8
2019-02-09 00:00:00,1056.68
